date 	 GPStime 	 temp 	 humidtiy 	 pression 	 windSpeed 	 windDir 	 lat 	 lng 	 alt 	 nbtSat 	 isValid 	 tCpu 	 tSens 	 battery 	 fan 
110621	487154.00	25.45	42.31	968.13	0.00	RC	46.521506	6.567170	401.90	6	1	24.37	24.23	4.03	0
110621	487155.00	25.46	42.13	968.03	0.00	RC	46.521506	6.567169	401.40	6	1	24.37	24.25	4.02	0
110621	487156.00	25.48	41.79	968.07	0.00	RC	46.521507	6.567169	401.10	6	1	24.37	24.25	4.03	0
110621	487157.00	25.49	41.61	968.15	0.00	RC	46.521507	6.567165	400.40	6	1	24.37	24.25	4.02	0
110621	487158.00	25.49	41.46	968.08	0.00	RC	46.521509	6.567165	400.20	6	1	24.37	24.25	4.03	0
110621	487159.00	25.49	41.35	968.07	0.00	RC	46.521511	6.567164	399.70	6	1	24.37	24.25	4.03	0
110621	487160.00	25.52	41.13	968.11	0.00	RC	46.521513	6.567158	398.80	6	1	24.37	24.25	4.03	0
110621	487161.00	25.51	40.99	968.13	0.00	RC	46.521513	6.567148	397.30	6	1	24.37	24.25	4.02	0
110621	487162.00	25.51	40.95	968.11	0.00	RC	46.521512	6.567139	396.10	6	1	24.37	24.25	4.02	0
110621	487163.00	25.52	41.04	968.06	0.00	RC	46.521514	6.567136	395.40	6	1	24.37	24.25	4.02	0
110621	487164.00	25.53	41.02	968.06	0.00	RC	46.521513	6.567127	394.10	6	1	24.39	24.25	4.02	0
110621	487165.00	25.53	40.94	968.07	0.00	RC	46.521514	6.567129	393.80	6	1	24.44	24.25	4.02	0
110621	487166.00	25.53	40.99	968.10	0.00	RC	46.521515	6.567132	393.80	6	1	24.49	24.25	4.02	0
110621	487167.00	25.56	41.04	968.15	0.00	RC	46.521517	6.567134	393.50	6	1	24.50	24.25	4.02	0
110621	487168.00	25.53	41.07	968.12	0.00	RC	46.521518	6.567136	393.40	6	1	24.50	24.25	4.03	0
110621	487169.00	25.58	41.18	968.11	0.00	RC	46.521518	6.567142	393.60	6	1	24.50	24.27	4.03	0
110621	487170.00	25.59	41.25	968.11	0.00	RC	46.521518	6.567148	394.40	6	1	24.50	24.30	4.02	0
110621	487171.00	25.58	41.36	968.10	0.00	RC	46.521520	6.567154	394.90	6	1	24.50	24.32	4.03	0
110621	487172.00	25.61	41.42	968.11	0.00	RC	46.521522	6.567158	395.30	6	1	24.50	24.36	4.03	0
110621	487173.00	25.61	41.57	968.10	0.00	RC	46.521523	6.567160	395.50	6	1	24.50	24.37	4.02	0
110621	487174.00	25.58	41.55	968.04	0.00	RC	46.521524	6.567163	395.70	6	1	24.50	24.37	4.03	0
110621	487175.00	25.61	41.74	968.05	0.00	RC	46.521525	6.567164	395.90	6	1	24.50	24.37	4.02	0
110621	487176.00	25.64	41.82	968.09	0.00	RC	46.521527	6.567165	396.10	6	1	24.50	24.37	4.02	0
110621	487177.00	25.61	41.82	968.06	0.00	RC	46.521528	6.567166	396.40	6	1	24.50	24.37	4.03	0
110621	487178.00	25.65	41.88	968.05	0.00	RC	46.521529	6.567167	396.60	6	1	24.50	24.37	4.03	0
110621	487179.00	25.65	41.92	968.06	0.00	RC	46.521530	6.567168	396.80	6	1	24.56	24.37	4.03	0
110621	487180.00	25.65	41.97	968.10	0.00	RC	46.521530	6.567169	397.00	6	1	24.63	24.36	4.03	0
110621	487181.00	25.65	41.89	968.08	0.00	RC	46.521530	6.567169	397.30	6	1	24.63	24.36	4.02	0
110621	487182.00	25.66	41.84	968.06	0.00	RC	46.521531	6.567169	397.30	6	1	24.63	24.37	4.03	0
110621	487183.00	25.66	41.94	968.10	0.00	RC	46.521531	6.567170	397.40	6	1	24.63	24.37	4.02	0
110621	487184.00	25.69	41.97	968.13	0.00	RC	46.521532	6.567170	397.50	6	1	24.63	24.37	4.02	0
110621	487185.00	25.68	41.90	968.13	0.00	RC	46.521532	6.567170	397.70	6	1	24.63	24.37	4.03	0
110621	487186.00	25.71	41.97	968.11	0.00	RC	46.521532	6.567172	398.00	6	1	24.63	24.37	4.04	0
110621	487187.00	25.71	41.79	968.09	0.00	RC	46.521531	6.567173	398.40	6	1	24.63	24.37	4.03	0
110621	487188.00	25.71	41.60	968.11	0.00	RC	46.521530	6.567174	398.90	6	1	24.63	24.37	4.04	0
110621	487189.00	25.72	41.54	968.14	0.00	RC	46.521530	6.567175	399.30	6	1	24.63	24.37	4.03	0
110621	487190.00	25.72	41.56	968.10	0.00	RC	46.521530	6.567176	399.70	6	1	24.63	24.37	4.04	0
110621	487191.00	25.72	41.47	968.07	0.00	RC	46.521529	6.567177	400.10	6	1	24.64	24.37	4.03	0
110621	487192.00	25.72	41.41	968.06	0.00	RC	46.521528	6.567178	400.50	6	1	24.70	24.37	4.04	0
110621	487193.00	25.73	41.46	968.09	0.00	RC	46.521529	6.567178	400.40	6	1	24.75	24.37	4.03	0
110621	487194.00	25.73	41.43	968.09	0.00	RC	46.521530	6.567178	400.50	6	1	24.75	24.39	4.04	0
110621	487195.00	25.75	41.55	968.06	0.00	RC	46.521530	6.567178	400.50	6	1	24.75	24.40	4.03	0
110621	487196.00	25.75	41.43	968.08	0.00	RC	46.521530	6.567178	400.60	6	1	24.75	24.43	4.04	0
110621	487197.00	25.75	41.52	968.13	0.00	RC	46.521531	6.567178	400.60	6	1	24.75	24.45	4.03	0
110621	487199.00	25.76	41.55	968.16	0.00	RC	46.521532	6.567179	400.60	6	1	24.75	24.46	4.03	0
110621	487200.00	25.78	41.71	968.13	0.00	RC	46.521532	6.567179	400.70	6	1	24.75	24.49	4.04	0
110621	487201.00	25.79	41.74	968.08	0.00	RC	46.521532	6.567179	400.70	6	1	24.75	24.49	4.03	0
110621	487202.00	25.79	41.70	968.06	0.00	RC	46.521532	6.567178	400.50	6	1	24.75	24.49	4.03	0
110621	487203.00	25.78	41.59	968.06	0.00	RC	46.521532	6.567177	400.20	6	1	24.75	24.50	4.04	0
110621	487204.00	25.80	41.58	968.11	0.00	RC	46.521531	6.567177	400.10	6	1	24.75	24.47	4.03	0
110621	487205.00	25.80	41.44	968.13	0.00	RC	46.521530	6.567175	400.00	6	1	24.75	24.46	4.03	0
110621	487206.00	25.79	41.45	968.07	0.00	RC	46.521529	6.567173	400.00	6	1	24.79	24.49	4.03	0
110621	487207.00	25.80	41.30	968.05	0.00	RC	46.521528	6.567172	400.00	6	1	24.85	24.50	4.04	0
110621	487208.00	25.80	41.26	968.06	0.00	RC	46.521527	6.567171	400.10	6	1	24.87	24.50	4.03	0
110621	487209.00	25.80	41.25	968.11	0.00	RC	46.521526	6.567171	400.20	6	1	24.87	24.50	4.03	0
110621	487210.00	25.82	41.39	968.16	0.00	RC	46.521526	6.567171	400.40	6	1	24.87	24.50	4.03	0
110621	487211.00	25.80	41.45	968.08	0.00	RC	46.521526	6.567171	400.20	6	1	24.87	24.50	4.03	0
110621	487212.00	25.83	41.70	968.02	0.00	RC	46.521526	6.567172	400.00	6	1	24.87	24.50	4.03	0
110621	487213.00	25.82	42.08	968.03	0.00	RC	46.521526	6.567173	399.80	6	1	24.87	24.50	4.03	0
110621	487214.00	25.83	41.97	968.05	0.00	RC	46.521527	6.567175	399.50	7	1	24.87	24.50	4.03	0
110621	487215.00	25.83	41.89	968.07	0.00	RC	46.521526	6.567180	400.00	7	1	24.87	24.50	4.03	0
110621	487216.00	25.80	41.91	968.05	0.00	RC	46.521527	6.567181	399.90	7	1	24.87	24.50	4.03	0
110621	487217.00	25.85	41.79	968.07	0.00	RC	46.521526	6.567184	400.00	7	1	24.87	24.50	4.04	0
110621	487218.00	25.85	41.68	968.08	0.00	RC	46.521526	6.567186	400.20	7	1	24.87	24.50	4.03	0
110621	487219.00	25.86	41.38	968.04	0.00	RC	46.521525	6.567189	400.10	7	1	24.91	24.50	4.03	0
110621	487220.00	25.86	41.16	968.04	0.00	RC	46.521526	6.567190	399.70	7	1	24.98	24.50	4.03	0
110621	487221.00	25.89	41.15	968.04	0.00	RC	46.521526	6.567192	399.60	7	1	25.00	24.50	4.03	0
110621	487222.00	25.88	41.09	968.05	0.00	RC	46.521526	6.567193	399.50	7	1	25.00	24.50	4.03	0
110621	487223.00	25.88	41.19	968.05	0.00	RC	46.521525	6.567194	399.40	7	1	25.00	24.50	4.03	0
110621	487224.00	25.86	41.16	968.07	0.00	RC	46.521525	6.567195	399.40	7	1	25.00	24.50	4.03	0
110621	487225.00	25.88	41.27	968.07	0.00	RC	46.521525	6.567195	399.20	7	1	25.00	24.50	4.02	0
110621	487226.00	25.86	41.52	968.05	0.00	RC	46.521525	6.567196	398.90	7	1	25.00	24.50	4.03	0
110621	487227.00	25.86	41.59	968.07	0.00	RC	46.521525	6.567196	398.70	7	1	25.00	24.50	4.03	0
110621	487228.00	25.89	41.88	968.07	0.00	RC	46.521525	6.567195	398.50	7	1	25.00	24.54	4.04	0
110621	487229.00	25.92	42.08	968.05	0.00	RC	46.521525	6.567195	398.30	7	1	25.00	24.55	4.03	0
110621	487230.00	25.90	42.34	968.04	0.00	RC	46.521525	6.567196	397.90	7	1	25.00	24.52	4.03	0
110621	487231.00	25.90	42.34	968.03	0.00	RC	46.521524	6.567196	397.60	7	1	25.00	24.56	4.03	0
110621	487232.00	25.92	42.57	968.04	0.00	RC	46.521523	6.567195	397.40	7	1	25.00	24.61	4.04	0
110621	487233.00	25.90	42.79	968.04	0.00	RC	46.521522	6.567194	397.30	7	1	25.00	24.63	4.03	0
110621	487234.00	25.90	43.14	968.03	0.00	RC	46.521521	6.567194	397.20	7	1	25.06	24.63	4.03	0
110621	487235.00	25.92	43.36	968.01	0.00	RC	46.521521	6.567193	397.00	7	1	25.12	24.63	4.03	0
110621	487236.00	25.93	43.53	967.98	0.00	RC	46.521520	6.567192	396.80	7	1	25.12	24.63	4.03	0
110621	487237.00	25.93	43.76	968.00	0.00	RC	46.521520	6.567192	396.70	7	1	25.12	24.63	4.03	0
110621	487238.00	25.93	43.86	968.03	0.00	RC	46.521519	6.567191	396.50	7	1	25.12	24.63	4.03	0
110621	487239.00	25.93	43.93	968.03	0.00	RC	46.521519	6.567191	396.50	7	1	25.12	24.61	4.03	0
110621	487240.00	25.93	44.07	967.96	0.00	RC	46.521518	6.567190	396.20	7	1	25.12	24.61	4.03	0
110621	487241.00	25.95	44.07	967.94	0.00	RC	46.521519	6.567189	395.80	7	1	25.12	24.63	4.03	0
110621	487242.00	25.96	44.17	967.98	0.00	RC	46.521520	6.567190	395.40	7	1	25.12	24.63	4.04	0
110621	487243.00	25.95	44.16	968.02	0.00	RC	46.521521	6.567190	395.00	7	1	25.12	24.63	4.02	0
110621	487244.00	25.96	44.21	968.07	0.00	RC	46.521522	6.567190	394.40	7	1	25.12	24.63	4.02	0
110621	487245.00	25.97	44.17	968.08	0.00	RC	46.521523	6.567189	394.00	7	1	25.12	24.63	4.02	0
110621	487246.00	25.99	44.24	968.10	0.00	RC	46.521523	6.567189	393.90	7	1	25.12	24.63	4.02	0
110621	487247.00	25.99	44.17	968.05	0.00	RC	46.521522	6.567190	393.80	7	1	25.12	24.63	4.02	0
110621	487248.00	25.99	44.17	968.01	0.00	RC	46.521521	6.567190	393.90	7	1	25.16	24.63	4.02	0
110621	487249.00	26.00	44.16	968.03	0.00	RC	46.521521	6.567189	394.00	7	1	25.23	24.63	4.02	0
110621	487250.00	25.99	44.04	968.01	0.00	RC	46.521520	6.567189	393.90	7	1	25.25	24.63	4.02	0
110621	487251.00	26.00	44.04	968.01	0.00	RC	46.521519	6.567189	394.00	7	1	25.25	24.63	4.02	0
110621	487252.00	26.00	43.99	968.00	0.00	RC	46.521518	6.567189	394.10	7	1	25.25	24.63	4.02	0
110621	487253.00	26.00	43.99	968.03	0.00	RC	46.521517	6.567188	394.20	7	1	25.25	24.63	4.02	0
110621	487254.00	26.03	43.86	968.05	0.00	RC	46.521516	6.567187	394.30	7	1	25.25	24.63	4.02	0
110621	487255.00	26.03	43.88	968.01	0.00	RC	46.521514	6.567187	394.50	7	1	25.25	24.63	4.02	0
110621	487256.00	26.01	43.85	968.04	0.00	RC	46.521514	6.567187	394.70	7	1	25.25	24.63	4.02	0
110621	487257.00	26.01	43.70	968.05	0.00	RC	46.521513	6.567185	394.80	7	1	25.25	24.63	4.02	0
110621	487258.00	26.01	43.74	967.99	0.00	RC	46.521513	6.567184	394.90	7	1	25.25	24.63	4.02	0
110621	487259.00	26.04	43.78	967.95	0.00	RC	46.521513	6.567184	395.00	7	1	25.25	24.63	4.02	0
110621	487260.00	26.00	43.76	967.98	0.00	RC	46.521514	6.567183	395.10	7	1	25.25	24.63	4.02	0
110621	487261.00	26.03	43.88	968.10	0.00	RC	46.521511	6.567182	395.20	7	1	25.25	24.63	4.02	0
110621	487262.00	26.01	43.89	968.11	0.00	RC	46.521507	6.567181	395.50	7	1	25.25	24.63	4.02	0
110621	487263.00	26.04	43.91	968.04	0.00	RC	46.521505	6.567181	395.70	7	1	25.25	24.63	4.02	0
110621	487264.00	26.01	43.89	968.02	0.00	RC	46.521502	6.567181	395.90	7	1	25.27	24.64	4.02	0
