"TOA5","Adventdalen_New","CR1000","21598","CR1000.Std.15","CPU:853_MET_20181115_str.CR1","41670","Sekund"
"TIMESTAMP","RECORD","ID","LT1_sek","LT2_sek","LT3_sek","LF1_sek","LT4_sek","LF2_sek","AT_sek","VH1_sek","VR1_sek","VH2_sek","VR2_sek"
"TS","RN","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-07-17 23:59:47",96909316,853,8.43,8.35,8.6,79.58,8.95,74.8,1010.405,8.43,113.6,9.11,121.4
"2020-07-17 23:59:48",96909317,853,8.33,8.35,8.6,79.55,8.89,74.83,1010.541,8.13,120.9,9.11,114.8
"2020-07-17 23:59:49",96909318,853,8.33,8.35,8.6,79.53,8.92,74.8,1010.405,7.84,128.7,8.72,121.1
"2020-07-17 23:59:50",96909319,853,8.33,8.35,8.61,79.53,8.95,74.8,1010.541,8.04,116.2,8.33,115.1
"2020-07-17 23:59:51",96909320,853,8.33,8.35,8.59,79.53,8.92,74.83,1010.608,7.84,117.7,7.938,115.9
"2020-07-17 23:59:52",96909321,853,8.33,8.45,8.6,79.53,8.92,74.8,1010.541,7.056,113.6,8.04,118.5
"2020-07-17 23:59:53",96909322,853,8.33,8.35,8.61,79.53,8.89,74.86,1010.541,7.35,116.7,9.31,119.4
"2020-07-17 23:59:54",96909323,853,8.33,8.35,8.6,79.53,8.89,74.83,1010.541,7.252,116,10.49,115.1
"2020-07-17 23:59:55",96909324,853,8.33,8.35,8.59,79.53,8.95,74.83,1010.473,7.742,121.9,10.19,116.9
"2020-07-17 23:59:56",96909325,853,8.43,8.35,8.61,79.53,8.92,74.83,1010.473,8.72,114.6,10.29,117.6
"2020-07-17 23:59:57",96909326,853,8.43,8.35,8.6,79.55,8.95,74.83,1010.473,9.31,114.4,10.19,110.8
